.Experiment Name	Phoneme_VoicedVoiceless1
.Participant Name	DFi_2
.Session ID	AP
.Date	9/15/2025	2:58:38 PM
.Resolution	1920	1080
.OS	Windows 10 (10.0)	x86_64

Participant	Participant	Session	Block	Trial	Event	Cumulative	Participant		Pressed Or	Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Time	Response	Key	Released	Response	Code	Time	PorB
DDisFirst_reg	DFi_2	AP	Practice_Instructions	Practice_Instructions	Practice_Instructions	28599	Button 5 (right thumb)	5	Pressed	(any response)	C	28214
DisFirst_reg	DFi_2	AP	Practice 	Practice, 1	Practice (1, bumblebee.wav)	29129	Button 4 (left thumb)	4	Pressed	(based on tag)	C	9	b
DisFirst_reg	DFi_2	AP	Practice 	Practice, 2	Practice (2, canopy.wav)	32708	Button 5 (right thumb)	5	Pressed	(based on tag)	C	2961	p
DisFirst_reg	DFi_2	AP	Practice 	Practice, 3	Practice (3, cob.wav)	34398	Button 5 (right thumb)	5	Pressed	(based on tag)	E	1067	b
DisFirst_reg	DFi_2	AP	Practice 	Practice, 4	Practice (4, copy.wav)	37208	Button 5 (right thumb)	5	Pressed	(based on tag)	C	2166	p
DisFirst_reg	DFi_2	AP	Practice 	Practice, 5	Practice (5, crab.wav)	39377	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1530	b
DisFirst_reg	DFi_2	AP	Practice 	Practice, 6	Practice (6, crimp.wav)	41027	Button 5 (right thumb)	5	Pressed	(based on tag)	C	978	p
DisFirst_reg	DFi_2	AP	Practice 	Practice, 7	Practice (7, flop.wav)	42607	Button 5 (right thumb)	5	Pressed	(based on tag)	C	954	p
DisFirst_reg	DFi_2	AP	Practice 	Practice, 8	Practice (8, grab.wav)	44276	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1054	b
DisFirst_reg	DFi_2	AP	Practice 	Practice, 9	Practice (9, grub.wav)	45866	Button 4 (left thumb)	4	Pressed	(based on tag)	C	940	b
DisFirst_reg	DFi_2	AP	Practice 	Practice, 10	Practice (10, hippie.wav)	47456	Button 5 (right thumb)	5	Pressed	(based on tag)	C	954	p
DisFirst_reg	DFi_2	AP	Practice 	Practice, 11	Practice (11, lobe.wav)	49005	Button 4 (left thumb)	4	Pressed	(based on tag)	C	900	b
DisFirst_reg	DFi_2	AP	Practice 	Practice, 12	Practice (12, maybe.wav)	50715	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1100	b
DisFirst_reg	DFi_2	AP	Practice 	Practice, 13	Practice (13, placebo.wav)	52514	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1190	b
DisFirst_reg	DFi_2	AP	Practice 	Practice, 14	Practice (14, pope.wav)	54334	Button 4 (left thumb)	4	Pressed	(based on tag)	E	1214	p
DisFirst_reg	DFi_2	AP	Practice 	Practice, 15	Practice (15, ripe.wav)	56134	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1157	p
DisFirst_reg	DFi_2	AP	Practice 	Practice, 16	Practice (16, scuba.wav)	57824	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1076	b
DisFirst_reg	DFi_2	AP	Practice 	Practice, 17	Practice (17, shape.wav)	59454	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1014	p
DisFirst_reg	DFi_2	AP	Practice 	Practice, 18	Practice (18, toupee.wav)	61393	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1325	p
DisFirst_reg	DFi_2	AP	Practice 	Practice, 19	Practice (19, typo.wav)	63183	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1172	p
DisFirst_reg	DFi_2	AP	Practice 	Practice, 20	Practice (20, wallaby.wav)	64882	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1061	b
DisFirst_reg	DFi_2	AP	Instructions	Instructions	Instructions	74401	Button 5 (right thumb)	5	Pressed	(any response)	C	8953	
DisFirst_reg	DFi_2	AP	dispref	dispref, 15	dispref (15, dokub.wav)	76660	Button 4 (left thumb)	4	Pressed	(based on tag)	C	2093	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 2	dispref (2, bidope.wav)	78540	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1692	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 25	dispref (25, potib.wav)	80319	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1632	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 8	dispref (8, bugipe.wav)	82029	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1551	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 21	dispref (21, pidob.wav)	83549	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1357	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 30	dispref (30, todipe.wav)	85089	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1382	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 4	dispref (4, bikupe.wav)	86888	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1626	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 10	dispref (10, degope.wav)	88528	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1451	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 29	dispref (29, todib.wav)	90548	Button 5 (right thumb)	5	Pressed	(based on tag)	E	1852	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 18	dispref (18, gotepe.wav)	92387	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1637	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 1	dispref (1, bidob.wav)	93717	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1172	b
DisFirst_reg	DFi_2	AP	dispref	dispref, 12	dispref (12, dikepe.wav)	95357	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1486	p
DisFirst_reg	DFi_2	AP	dispref	dispref, 23	dispref (23, pigeb.wav)	96737	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1232	b
