.Experiment Name	Phoneme_VoicedVoiceless1
.Participant Name	DFi1
.Session ID	VY Test
.Date	9/9/2025	2:42:25 PM
.Resolution	1920	1080
.OS	Windows 10 (10.0)	x86_64

Participant	Participant	Session	Block	Trial	Event	Cumulative	Participant		Pressed Or	Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Time	Response	Key	Released	Response	Code	Time	PorB
Disfirst_inverse	DFi1	VY Test	Inverse_Practice_Instructions	Inverse_Practice_Instructions	Inverse_Practice_Instructions	78079	Button 5 (right thumb)	5	Pressed	(any response)	C	77619	
Disfirst_inverse	DFi1	VY Test	Practice_Inverse	Practice_Inverse, 1	Practice_Inverse (1, bumblebee.wav)	80509	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1905	b
Disfirst_inverse	DFi1	VY Test	Practice_Inverse	Practice_Inverse, 2	Practice_Inverse (2, canopy.wav)	82109	Button 4 (left thumb)	4	Pressed	(based on tag)	C	942	p
Disfirst_inverse	DFi1	VY Test	Practice_Inverse	Practice_Inverse, 3	Practice_Inverse (3, cob.wav)	83568	Button 4 (left thumb)	4	Pressed	(based on tag)	E	818	b
Disfirst_inverse	DFi1	VY Test	Practice_Inverse	Practice_Inverse, 4	Practice_Inverse (4, copy.wav)	85268	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1059	p
Disfirst_inverse	DFi1	VY Test	Practice_Inverse	Practice_Inverse, 5	Practice_Inverse (5, crab.wav)	86808	Button 5 (right thumb)	5	Pressed	(based on tag)	C	894	b
Disfirst_inverse	DFi1	VY Test	Practice_Inverse	Practice_Inverse, 6	Practice_Inverse (6, crimp.wav)	88358	Button 4 (left thumb)	4	Pressed	(based on tag)	C	950	p
Disfirst_inverse	DFi1	VY Test	Practice_Inverse	Practice_Inverse, 7	Practice_Inverse (7, flop.wav)	89907	Button 5 (right thumb)	5	Pressed	(based on tag)	E	945	p
Disfirst_inverse	DFi1	VY Test	Practice_Inverse	Practice_Inverse, 8	Practice_Inverse (8, grab.wav)	91537	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1005	b
Disfirst_inverse	DFi1	VY Test	Practice_Inverse	Practice_Inverse, 9	Practice_Inverse (9, grub.wav)	93316	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1164	b
Disfirst_inverse	DFi1	VY Test	Practice_Inverse	Practice_Inverse, 10	Practice_Inverse (10, hippie.wav)	94746	Button 4 (left thumb)	4	Pressed	(based on tag)	C	774	p
Disfirst_inverse	DFi1	VY Test	Practice_Inverse	Practice_Inverse, 11	Practice_Inverse (11, lobe.wav)	96756	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1405	b
