.Experiment Name	Phoneme_VoicedVoiceless_6.27_25_
.Participant Name	Dis_reg1
.Session ID	 6.30.25
.Date	6/30/2025	8:47:01 AM
.Resolution	1920	1080
.OS	Windows 10 (10.0)	x86_64

Participant	Participant	Session	Block	Trial	Event	Cumulative	Participant		Pressed Or	Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Time	Response	Key	Released	Response	Code	Time	PorB
DisFirst_reg	Dis_reg1	 6.30.25	Practice_Instructions	Practice_Instructions	Practice_Instructions	39955	Button 4 (left thumb)	4	Pressed	(any response)	C	39935	
DisFirst_reg	Dis_reg1	 6.30.25	Practice 	Practice, 1	Practice (1, bumblebee.wav)	45834	Button 4 (left thumb)	4	Pressed	(based on tag)	C	5359	b
DisFirst_reg	Dis_reg1	 6.30.25	Practice 	Practice, 2	Practice (2, canopy.wav)	50583	Button 5 (right thumb)	5	Pressed	(based on tag)	C	4103	p
DisFirst_reg	Dis_reg1	 6.30.25	Practice 	Practice, 3	Practice (3, cob.wav)	53183	Button 5 (right thumb)	5	Pressed	(based on tag)	E	1945	b
DisFirst_reg	Dis_reg1	 6.30.25	Practice 	Practice, 4	Practice (4, copy.wav)	55282	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1452	p
DisFirst_reg	Dis_reg1	 6.30.25	Practice 	Practice, 5	Practice (5, crab.wav)	60391	Button 4 (left thumb)	4	Pressed	(based on tag)	C	4465	b
DisFirst_reg	Dis_reg1	 6.30.25	Practice 	Practice, 6	Practice (6, crimp.wav)	62331	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1296	p
DisFirst_reg	Dis_reg1	 6.30.25	Practice 	Practice, 7	Practice (7, flop.wav)	64561	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1627	p
DisFirst_reg	Dis_reg1	 6.30.25	Practice 	Practice, 8	Practice (8, grab.wav)	66560	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1364	b
DisFirst_reg	Dis_reg1	 6.30.25	Practice 	Practice, 9	Practice (9, grub.wav)	68120	Button 4 (left thumb)	4	Pressed	(based on tag)	C	900	b
DisFirst_reg	Dis_reg1	 6.30.25	Practice 	Practice, 10	Practice (10, hippie.wav)	70470	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1714	p
DisFirst_reg	Dis_reg1	 6.30.25	Practice 	Practice, 11	Practice (11, lobe.wav)	72649	Button 5 (right thumb)	5	Pressed	(based on tag)	E	1546	b
DisFirst_reg	Dis_reg1	 6.30.25	Practice 	Practice, 12	Practice (12, maybe.wav)	75639	Button 5 (right thumb)	5	Pressed	(based on tag)	E	2312	b
DisFirst_reg	Dis_reg1	 6.30.25	Practice 	Practice, 13	Practice (13, placebo.wav)	79128	Button 4 (left thumb)	4	Pressed	(based on tag)	C	2846	b
DisFirst_reg	Dis_reg1	 6.30.25	Practice 	Practice, 14	Practice (14, pope.wav)	81488	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1713	p
DisFirst_reg	Dis_reg1	 6.30.25	Practice 	Practice, 15	Practice (15, ripe.wav)	83397	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1283	p
DisFirst_reg	Dis_reg1	 6.30.25	Practice 	Practice, 16	Practice (16, scuba.wav)	85507	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1462	b
DisFirst_reg	Dis_reg1	 6.30.25	Practice 	Practice, 17	Practice (17, shape.wav)	87667	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1528	p
DisFirst_reg	Dis_reg1	 6.30.25	Practice 	Practice, 18	Practice (18, toupee.wav)	90186	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1896	p
DisFirst_reg	Dis_reg1	 6.30.25	Practice 	Practice, 19	Practice (19, canopy.wav)	92356	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1520	p
DisFirst_reg	Dis_reg1	 6.30.25	Practice 	Practice, 20	Practice (20, wallaby.wav)	94435	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1434	b
DisFirst_reg	Dis_reg1	 6.30.25	Instructions	Instructions	Instructions	108223	Button 4 (left thumb)	4	Pressed	(any response)	C	13266	
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 29	dispref (29, todib.wav)	108402	Button 4 (left thumb)	4	Pressed	(based on tag)	C	3	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 6	dispref (6, bogepe.wav)	111222	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1768	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 17	dispref (17, goteb.wav)	112842	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1413	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 23	dispref (23, pigeb.wav)	114481	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1441	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 4	dispref (4, bikube.wav)	116341	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1674	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 16	dispref (16, dokupe.wav)	117871	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1368	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 8	dispref (8, bugipe.wav)	119370	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1344	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 15	dispref (15, dokub.wav)	120690	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1177	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 32	dispref (32, todupe.wav)	122110	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1248	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 10	dispref (10, degope.wav)	123479	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1205	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 27	dispref (27, tekub.wav)	124730	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1052	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 12	dispref (12, dikepe.wav)	126169	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1246	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 22	dispref (22, pidope.wav)	127649	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1337	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 3	dispref (3, bikub.wav)	128829	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1023	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 2	dispref (2, bidope.wav)	130158	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1127	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 7	dispref (7, bugib.wav)	131578	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1182	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 28	dispref (28, tekupe.wav)	133048	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1306	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 18	dispref (18, gotepe.wav)	134578	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1364	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 11	dispref (11, dikeb.wav)	135937	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1214	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 25	dispref (25, potib.wav)	137267	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1184	b
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 26	dispref (26, potipe.wav)	138747	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1321	p
DisFirst_reg	Dis_reg1	 6.30.25	dispref	dispref, 9	dispref (9, degob.wav)	140627	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1682	b
