.Experiment Name	Phoneme_VoicedVoiceless1
.Participant Name	J_M
.Session ID	DF_1
.Date	9/11/2025	9:25:32 AM
.Resolution	1920	1080
.OS	Windows 10 (10.0)	x86_64

Participant	Participant	Session	Block	Trial	Event	Cumulative	Participant		Pressed Or	Correct	Error	Reaction
Group	Name	ID	Name	Name	Name	Time	Response	Key	Released	Response	Code	Time	PorB
DisFirst_reg	J_M	DF_1	Practice_Instructions	Practice_Instructions	Practice_Instructions	64169	Button 4 (left thumb)	4	Pressed	(any response)	C	63804	
DisFirst_reg	J_M	DF_1	Practice 	Practice, 1	Practice (1, bumblebee.wav)	67838	Button 4 (left thumb)	4	Pressed	(based on tag)	C	3255	b
DisFirst_reg	J_M	DF_1	Practice 	Practice, 2	Practice (2, canopy.wav)	70078	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1635	p
DisFirst_reg	J_M	DF_1	Practice 	Practice, 3	Practice (3, cob.wav)	71897	Button 5 (right thumb)	5	Pressed	(based on tag)	E	1218	b
DisFirst_reg	J_M	DF_1	Practice 	Practice, 4	Practice (4, copy.wav)	75277	Button 5 (right thumb)	5	Pressed	(based on tag)	C	2781	p
DisFirst_reg	J_M	DF_1	Practice 	Practice, 5	Practice (5, crab.wav)	76816	Button 4 (left thumb)	4	Pressed	(based on tag)	C	941	b
DisFirst_reg	J_M	DF_1	Practice 	Practice, 6	Practice (6, crimp.wav)	79246	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1825	p
DisFirst_reg	J_M	DF_1	Practice 	Practice, 7	Practice (7, flop.wav)	80986	Button 4 (left thumb)	4	Pressed	(based on tag)	E	1136	p
DisFirst_reg	J_M	DF_1	Practice 	Practice, 8	Practice (8, grab.wav)	82665	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1074	b
DisFirst_reg	J_M	DF_1	Practice 	Practice, 9	Practice (9, grub.wav)	84235	Button 4 (left thumb)	4	Pressed	(based on tag)	C	967	b
DisFirst_reg	J_M	DF_1	Practice 	Practice, 10	Practice (10, hippie.wav)	85655	Button 5 (right thumb)	5	Pressed	(based on tag)	C	821	p
DisFirst_reg	J_M	DF_1	Practice 	Practice, 11	Practice (11, lobe.wav)	87914	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1660	b
DisFirst_reg	J_M	DF_1	Practice 	Practice, 12	Practice (12, maybe.wav)	89754	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1235	b
DisFirst_reg	J_M	DF_1	Practice 	Practice, 13	Practice (13, placebo.wav)	91514	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1161	b
DisFirst_reg	J_M	DF_1	Practice 	Practice, 14	Practice (14, pope.wav)	93193	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1079	p
DisFirst_reg	J_M	DF_1	Practice 	Practice, 15	Practice (15, ripe.wav)	95063	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1270	p
DisFirst_reg	J_M	DF_1	Practice 	Practice, 16	Practice (16, scuba.wav)	96773	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1109	b
DisFirst_reg	J_M	DF_1	Practice 	Practice, 17	Practice (17, shape.wav)	98332	Button 5 (right thumb)	5	Pressed	(based on tag)	C	957	p
DisFirst_reg	J_M	DF_1	Practice 	Practice, 18	Practice (18, toupee.wav)	99742	Button 5 (right thumb)	5	Pressed	(based on tag)	C	808	p
DisFirst_reg	J_M	DF_1	Practice 	Practice, 19	Practice (19, typo.wav)	101052	Button 5 (right thumb)	5	Pressed	(based on tag)	C	710	p
DisFirst_reg	J_M	DF_1	Practice 	Practice, 20	Practice (20, wallaby.wav)	102602	Button 4 (left thumb)	4	Pressed	(based on tag)	C	952	b
DisFirst_reg	J_M	DF_1	Instructions	Instructions	Instructions	153382	Button 4 (left thumb)	4	Pressed	(any response)	C	50241	
DisFirst_reg	J_M	DF_1	dispref	dispref, 8	dispref (8, bugipe.wav)	166950	Button 5 (right thumb)	5	Pressed	(based on tag)	C	13176	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 15	dispref (15, dokub.wav)	171009	Button 5 (right thumb)	5	Pressed	(based on tag)	E	3903	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 27	dispref (27, tekub.wav)	173419	Button 4 (left thumb)	4	Pressed	(based on tag)	C	2253	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 13	dispref (13, dogib.wav)	175828	Button 4 (left thumb)	4	Pressed	(based on tag)	C	2253	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 19	dispref (19, gutob.wav)	178498	Button 4 (left thumb)	4	Pressed	(based on tag)	C	2516	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 22	dispref (22, pidope.wav)	180397	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1741	p
DisFirst_reg	J_M	DF_1	dispref	dispref, 3	dispref (3, bikub.wav)	182227	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1676	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 7	dispref (7, bugib.wav)	184357	Button 4 (left thumb)	4	Pressed	(based on tag)	C	1975	b
DisFirst_reg	J_M	DF_1	dispref	dispref, 20	dispref (20, gutope.wav)	186076	Button 5 (right thumb)	5	Pressed	(based on tag)	C	1566	p
