,expt_id,Group,group_id,invRT,Trial,participant_id,response_correct,response_name,response_rt,stimuli_presented,trial_template,trial_duration,PartBlocks,AllBlocks,Pattern,trial_num,PB,Final,Part,Correct
1,AP,DDisFirst_reg,,-0.03544339689515843,,DFi_2,(any response),,28214,Practice_Instructions,AP,28599,,,,,,,,(any response)
2,AP,DisFirst_reg,,-111.11111111111111,,DFi_2,(based on tag),,9,"Practice (1, bumblebee.wav)",AP,29129,,,,,b,,,(based on tag)
3,AP,DisFirst_reg,,-0.33772374197906113,,DFi_2,(based on tag),,2961,"Practice (2, canopy.wav)",AP,32708,,,,,p,,,(based on tag)
4,AP,DisFirst_reg,,-0.9372071227741331,,DFi_2,(based on tag),,1067,"Practice (3, cob.wav)",AP,34398,,,,,b,,,(based on tag)
5,AP,DisFirst_reg,,-0.4616805170821791,,DFi_2,(based on tag),,2166,"Practice (4, copy.wav)",AP,37208,,,,,p,,,(based on tag)
6,AP,DisFirst_reg,,-0.6535947712418301,,DFi_2,(based on tag),,1530,"Practice (5, crab.wav)",AP,39377,,,,,b,,,(based on tag)
7,AP,DisFirst_reg,,-1.0224948875255624,,DFi_2,(based on tag),,978,"Practice (6, crimp.wav)",AP,41027,,,,,p,,,(based on tag)
8,AP,DisFirst_reg,,-1.0482180293501049,,DFi_2,(based on tag),,954,"Practice (7, flop.wav)",AP,42607,,,,,p,,,(based on tag)
9,AP,DisFirst_reg,,-0.9487666034155597,,DFi_2,(based on tag),,1054,"Practice (8, grab.wav)",AP,44276,,,,,b,,,(based on tag)
10,AP,DisFirst_reg,,-1.0638297872340425,,DFi_2,(based on tag),,940,"Practice (9, grub.wav)",AP,45866,,,,,b,,,(based on tag)
11,AP,DisFirst_reg,,-1.0482180293501049,,DFi_2,(based on tag),,954,"Practice (10, hippie.wav)",AP,47456,,,,,p,,,(based on tag)
12,AP,DisFirst_reg,,-1.1111111111111112,,DFi_2,(based on tag),,900,"Practice (11, lobe.wav)",AP,49005,,,,,b,,,(based on tag)
13,AP,DisFirst_reg,,-0.9090909090909091,,DFi_2,(based on tag),,1100,"Practice (12, maybe.wav)",AP,50715,,,,,b,,,(based on tag)
14,AP,DisFirst_reg,,-0.8403361344537815,,DFi_2,(based on tag),,1190,"Practice (13, placebo.wav)",AP,52514,,,,,b,,,(based on tag)
15,AP,DisFirst_reg,,-0.8237232289950577,,DFi_2,(based on tag),,1214,"Practice (14, pope.wav)",AP,54334,,,,,p,,,(based on tag)
16,AP,DisFirst_reg,,-0.8643042350907519,,DFi_2,(based on tag),,1157,"Practice (15, ripe.wav)",AP,56134,,,,,p,,,(based on tag)
17,AP,DisFirst_reg,,-0.929368029739777,,DFi_2,(based on tag),,1076,"Practice (16, scuba.wav)",AP,57824,,,,,b,,,(based on tag)
18,AP,DisFirst_reg,,-0.9861932938856016,,DFi_2,(based on tag),,1014,"Practice (17, shape.wav)",AP,59454,,,,,p,,,(based on tag)
19,AP,DisFirst_reg,,-0.7547169811320755,,DFi_2,(based on tag),,1325,"Practice (18, toupee.wav)",AP,61393,,,,,p,,,(based on tag)
20,AP,DisFirst_reg,,-0.8532423208191127,,DFi_2,(based on tag),,1172,"Practice (19, typo.wav)",AP,63183,,,,,p,,,(based on tag)
21,AP,DisFirst_reg,,-0.942507068803016,,DFi_2,(based on tag),,1061,"Practice (20, wallaby.wav)",AP,64882,,,,,b,,,(based on tag)
22,AP,DisFirst_reg,,-0.11169440411035407,,DFi_2,(any response),,8953,Instructions,AP,74401,,,,,,,,(any response)
23,AP,DisFirst_reg,,-0.47778308647873863,,DFi_2,(based on tag),,2093,"dispref (15, dokub.wav)",AP,76660,,,,,b,,,(based on tag)
24,AP,DisFirst_reg,,-0.5910165484633569,,DFi_2,(based on tag),,1692,"dispref (2, bidope.wav)",AP,78540,,,,,p,,,(based on tag)
25,AP,DisFirst_reg,,-0.6127450980392157,,DFi_2,(based on tag),,1632,"dispref (25, potib.wav)",AP,80319,,,,,b,,,(based on tag)
26,AP,DisFirst_reg,,-0.6447453255963894,,DFi_2,(based on tag),,1551,"dispref (8, bugipe.wav)",AP,82029,,,,,p,,,(based on tag)
27,AP,DisFirst_reg,,-0.7369196757553427,,DFi_2,(based on tag),,1357,"dispref (21, pidob.wav)",AP,83549,,,,,b,,,(based on tag)
28,AP,DisFirst_reg,,-0.723589001447178,,DFi_2,(based on tag),,1382,"dispref (30, todipe.wav)",AP,85089,,,,,p,,,(based on tag)
29,AP,DisFirst_reg,,-0.6150061500615006,,DFi_2,(based on tag),,1626,"dispref (4, bikupe.wav)",AP,86888,,,,,p,,,(based on tag)
30,AP,DisFirst_reg,,-0.6891798759476223,,DFi_2,(based on tag),,1451,"dispref (10, degope.wav)",AP,88528,,,,,p,,,(based on tag)
31,AP,DisFirst_reg,,-0.5399568034557235,,DFi_2,(based on tag),,1852,"dispref (29, todib.wav)",AP,90548,,,,,b,,,(based on tag)
32,AP,DisFirst_reg,,-0.6108735491753207,,DFi_2,(based on tag),,1637,"dispref (18, gotepe.wav)",AP,92387,,,,,p,,,(based on tag)
33,AP,DisFirst_reg,,-0.8532423208191127,,DFi_2,(based on tag),,1172,"dispref (1, bidob.wav)",AP,93717,,,,,b,,,(based on tag)
34,AP,DisFirst_reg,,-0.6729475100942126,,DFi_2,(based on tag),,1486,"dispref (12, dikepe.wav)",AP,95357,,,,,p,,,(based on tag)
35,AP,DisFirst_reg,,-0.8116883116883117,,DFi_2,(based on tag),,1232,"dispref (23, pigeb.wav)",AP,96737,,,,,b,,,(based on tag)
36,AP,DisFirst_reg,,-0.7468259895444361,,DFi_2,(based on tag),,1339,"dispref (24, pigepe.wav)",AP,98236,,,,,p,,,(based on tag)
37,AP,DisFirst_reg,,-0.7267441860465116,,DFi_2,(based on tag),,1376,"dispref (28, tekupe.wav)",AP,99766,,,,,p,,,(based on tag)
38,AP,DisFirst_reg,,-0.9871668311944719,,DFi_2,(based on tag),,1013,"dispref (5, bogeb.wav)",AP,100946,,,,,b,,,(based on tag)
39,AP,DisFirst_reg,,-0.8748906386701663,,DFi_2,(based on tag),,1143,"dispref (7, bugib.wav)",AP,102245,,,,,b,,,(based on tag)
40,AP,DisFirst_reg,,-0.7898894154818326,,DFi_2,(based on tag),,1266,"dispref (26, potipe.wav)",AP,103665,,,,,p,,,(based on tag)
41,AP,DisFirst_reg,,-0.8873114463176575,,DFi_2,(based on tag),,1127,"dispref (9, degob.wav)",AP,104955,,,,,b,,,(based on tag)
42,AP,DisFirst_reg,,-0.800640512409928,,DFi_2,(based on tag),,1249,"dispref (14, dogipe.wav)",AP,106365,,,,,p,,,(based on tag)
43,AP,DisFirst_reg,,-0.7911392405063291,,DFi_2,(based on tag),,1264,"dispref (11, dikeb.wav)",AP,107814,,,,,b,,,(based on tag)
44,AP,DisFirst_reg,,-0.9433962264150944,,DFi_2,(based on tag),,1060,"dispref (27, tekub.wav)",AP,109024,,,,,b,,,(based on tag)
45,AP,DisFirst_reg,,-0.9970089730807578,,DFi_2,(based on tag),,1003,"dispref (31, todub.wav)",AP,110194,,,,,b,,,(based on tag)
46,AP,DisFirst_reg,,-0.6609385327164574,,DFi_2,(based on tag),,1513,"dispref (20, gutope.wav)",AP,111854,,,,,p,,,(based on tag)
47,AP,DisFirst_reg,,-0.3835826620636747,,DFi_2,(based on tag),,2607,"dispref (13, dogib.wav)",AP,114623,,,,,b,,,(based on tag)
